season,episode,scene,line,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
1,1,24,113,-0.06639459038877943,-0.04745184940438841,-0.0508403183701005,-0.059503082195972105,-0.039039924317684056,-0.07838695947670198,0.325038455566623,-0.3222088408062032,0.22183086618530803,-0.05308327232203394
1,1,24,114,-0.07139054158531499,-0.052589446802682446,-0.054705769443791595,-0.06297022727080434,-0.04341301850266078,-0.0843564649225546,-0.2426483506952719,-0.04930985533936618,0.12623667692977492,-0.02510719079502116
1,1,24,115,-0.06100701546565453,-0.04480793593511652,-0.046842883253069276,-0.057674778036585855,-0.035816783560788414,-0.07336519909482356,0.35989836585731627,-0.36117693344249946,0.2619861455252174,-0.023491541832968026
1,1,24,116,-0.06440672346309015,-0.04475820840404318,-0.04539526914006103,-0.046152591916794945,-0.030350104099301625,-0.06226504049735326,0.017300831583672446,0.015518816721934406,-0.07044028715778333,-0.0732534861217392
1,1,24,117,-0.05586420250986399,-0.04252851433501805,-0.02761360938015298,-0.0415024751810498,-0.026062822223089224,-0.05118341724910355,0.031226049143156676,0.016288704967703915,-0.06872122814231563,-0.06101796164382377
1,1,24,118,-0.057084309981558785,-0.038927652761824486,-0.03741284403185069,-0.04319051958289194,-0.02589000791575138,-0.04916614774553398,0.01700660414399216,0.013836708565295725,-0.052912891875864926,-0.05332909312123734
1,1,25,119,-0.06296456392741738,-0.04459979645453775,-0.043323229326825856,-0.04769266891566306,-0.030755682057231528,-0.06178598433769704,0.019528214912556855,0.014876421414940773,-0.06996847954609507,-0.049320081906741864
1,1,26,120,0.4083004139529291,-0.02299933504365434,-0.039733415615472174,-0.05091231256301861,-0.03514331685926974,-0.057958085428531585,-0.26538007151746656,-0.04841152460871437,0.16244100508855727,-0.028392096659155135
1,1,26,121,-0.06041999710712362,-0.04341070137033363,-0.0405264449249498,-0.03405371512665261,-0.0238225540204925,-0.053228382731576096,0.024481664027842357,0.015216104646473749,-0.06674793788711295,-0.0627443188464877
1,1,26,122,-0.06524027863652022,-0.045969180021280885,-0.04497741796161018,-0.05168988867052458,-0.03296792173860471,-0.054946389231351055,0.032256487788444685,0.02654903363477583,-0.07749658551152636,-0.08640615013328422
1,1,26,123,-0.064180925919724,-0.047156051877122275,-0.04795925939398579,-0.054381406057169325,-0.035524647307924914,-0.07147179002350684,0.22839974047682968,-0.20887207971186406,0.12084649460363019,-0.044325630519218374
1,1,26,124,-0.06410571570553861,-0.04463892620394046,-0.04284188330018081,-0.05048584041645419,-0.03247356787326284,-0.06240031275883864,0.013485439811382909,0.0145582935125706,-0.0656787454578425,-0.0658773243503483
1,1,26,125,-0.05895993038816446,-0.0420382451659332,-0.038815249989033046,-0.04441195538687816,-0.02762102746668338,-0.05163708583651852,0.012281130111225782,0.010866733976528774,-0.05377735066629177,-0.05018913041369365
1,1,26,126,-0.17891877911534787,-0.17630207997062386,-0.47053326098705855,3.390346495401638,1.187701914708741,0.7457033511310392,-0.08149532799384725,-0.04509003065296642,0.210540269339046,0.003341246343053833
1,1,26,127,-0.12442108479452899,-0.11071830755442903,-0.13964639441469304,-0.2121398954146798,-0.14064117099479337,-0.27728240402391613,-2.5574066871720182,-0.6229295428508858,1.8765930587070374,0.3409778674510122
1,1,26,128,0.11677323919663077,-0.03377210240035916,-0.036879300236984214,-0.04160372176746907,-0.02753750415979396,-0.053182637081984015,0.018967301538358877,0.014433577693867173,-0.062143277928183534,-0.0619539200101085
1,1,26,129,-0.06675156305989925,-0.049157170387943296,-0.04569560090319035,-0.05163108340373242,-0.03433288981527314,-0.067993906538631,0.01527106362362685,0.013152267693470042,-0.07218843066832935,-0.07630999696508009
