term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
18000,-3.757913302232188e-07,-2.884285474592703e-07,-3.02910117262298e-07,-3.6125189980018344e-07,-2.271844945443758e-07,-4.46317091156624e-07,2.525617344243088e-07,1.4594931104281606e-07,-6.364688770764473e-07,-1.0354123829442535e-07
1808,-1.538459722213515e-06,-1.1233830080999197e-06,-1.2115839432608286e-06,-1.4645033957624258e-06,-8.935081637747182e-07,-1.7715282636265787e-06,8.930237990919481e-07,5.662947895482531e-07,-2.3729965528247e-06,-1.895107759581186e-06
1816,-2.055479393353537e-06,-1.5301133559032546e-06,-1.69647064688091e-06,-2.000327466512228e-06,-1.2204643088739187e-06,-2.485250742341737e-06,1.0545740063095937e-06,7.456022796501825e-07,-3.222294292119397e-06,-3.1094210524407057e-06
185,-2.080767584435241e-06,-1.568053541032045e-06,-1.6060137330833695e-06,-1.9344507817552264e-06,-1.2151540629675126e-06,-2.2295230790284925e-06,1.5202297620014838e-06,8.652418690667981e-07,-3.3160357030847813e-06,-2.764887565295919e-06
18505,-3.169208442515178e-05,-2.3017355254854173e-05,-2.373012523222925e-05,-2.974574628274541e-05,-1.6626416119052677e-05,-3.358232499606909e-05,1.97249071198315e-05,1.2437886208367267e-05,-4.413605224620792e-05,-4.2277544755530794e-05
1864,-3.123430143009034e-07,-2.3594208872031127e-07,-2.46724441972052e-07,-3.0111804872999507e-07,-1.8646338903438504e-07,-3.674897770502217e-07,1.7910970425475213e-07,1.0451120234147066e-07,-4.7679169900589195e-07,-4.371963775397878e-07
1865,-7.432247140452891e-07,-5.705756164177629e-07,-6.119579678642287e-07,-6.926046410942261e-07,-4.5527995383535165e-07,-9.063269334516735e-07,5.835160953262731e-07,3.0205621267299025e-07,-1.376907975732103e-06,8.140923251979812e-07
1866,-1.9038773623316885e-06,-1.4146884514020551e-06,-1.465032340990364e-06,-1.7487592943944853e-06,-1.0439522347543638e-06,-2.099568208476119e-06,1.0842664370824973e-06,6.801372125108123e-07,-2.7357441835031086e-06,-2.6011314556158326e-06
1870,-1.7092174705998002e-05,-1.3645769255346594e-05,-1.3339696387232643e-05,-1.6156132386918267e-05,-1.0523186532336056e-05,-2.0888347839940432e-05,1.3712082893903814e-06,2.648277656951441e-06,-2.058873834745688e-05,-2.5743409001631798e-05
1890,-3.292299882755546e-07,-2.529391765149334e-07,-2.704860256983411e-07,-3.162263662202685e-07,-2.024429814851533e-07,-4.075413989008821e-07,1.968239885426441e-07,1.2516313680269462e-07,-5.595744070379566e-07,-2.0996617977431274e-07
