season,episode,scene,line,term_str,n,tfidf,max_pos,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment
1,1,48,259,found,1,0.1537186083339375,VBD,0,0,0,0,1,0,0,1,1
1,1,48,259,god,1,0.10849095797595415,NNP,0,1,0,1,1,0,0,1,1
1,1,50,263,shoot,1,0.3708334865438901,NN,1,0,0,1,0,0,0,0,-1
1,1,50,266,nervous,1,1.4528636305245017,JJ,0,1,0,1,0,0,0,0,-1
1,1,50,268,attack,1,0.07846191638124114,NN,1,0,0,1,0,0,0,0,-1
1,1,51,270,happy,1,0.4372491739895892,JJ,0,1,0,0,1,0,0,1,1
1,1,51,270,idiot,1,0.5167016401934253,NN,0,0,1,0,0,0,0,0,-1
1,1,51,270,truth,1,0.5483602851007003,NN,0,0,0,0,0,0,0,1,1
1,2,1,273,good,2,0.7561284960437281,JJ,0,1,0,0,1,0,1,1,1
1,2,2,274,excited,1,0.10699812002917576,JJ,0,1,0,0,1,0,1,1,1
1,2,2,274,important,1,0.09854795350648245,JJ,0,0,0,0,0,0,0,1,1
1,2,2,274,kind,1,0.08451185312276199,NN,0,0,0,0,1,0,0,1,1
1,2,2,274,punch,1,0.12140547368858465,NN,1,0,0,1,0,1,1,0,-1
1,2,2,274,wanting,1,0.14131529918824529,VBG,0,0,0,0,0,1,0,0,-1
1,2,3,275,content,1,0.25062320405423594,NN,0,0,0,0,1,0,0,1,1
1,2,3,275,losing,1,0.1884421423660989,VBG,1,0,0,0,0,1,0,0,-1
1,2,3,275,wait,1,0.12033785748051494,NN,0,1,0,0,0,0,0,0,-1
1,2,3,278,perfect,1,0.18325738913021178,JJ,0,1,0,0,1,0,0,1,1
1,2,3,279,retaliation,1,3.7176212829531514,NN,1,0,0,1,0,0,0,0,-1
1,2,4,282,love,1,0.07230330104106715,VBP,0,0,0,0,1,0,0,0,1
1,2,5,289,love,1,1.2725380983227819,VBP,0,0,0,0,1,0,0,0,1
1,2,6,292,good,1,0.614354403035529,JJ,0,1,0,0,1,0,1,1,1
1,2,6,294,fun,1,0.34764902492769795,NN,0,1,0,0,1,0,0,0,1
1,2,7,304,honesty,1,0.258937136461096,NN,0,0,0,0,0,0,0,1,1
1,2,7,304,promise,1,0.20906576622242876,VBP,0,0,0,0,1,0,0,1,1
1,2,7,308,fighting,1,1.6301505018821867,VBG,1,0,0,0,0,0,0,0,-1
1,2,7,315,good,1,0.49148352242842325,JJ,0,1,0,0,1,0,1,1,1
1,2,7,318,white,1,1.5884391881546636,JJ,0,1,0,0,1,0,0,1,1
1,2,7,319,love,1,0.22723894612906817,VBP,0,0,0,0,1,0,0,0,1
1,2,7,319,prefer,1,0.4052472562769854,VBP,0,0,0,0,0,0,0,1,1
1,2,7,323,found,1,0.1904774059790095,VBD,0,0,0,0,1,0,0,1,1
1,2,7,323,offensive,1,0.24050283064684785,JJ,1,0,1,0,0,0,0,0,-1
1,2,7,328,intolerant,1,0.6348194052725042,JJ,1,0,1,1,0,1,0,0,-1
1,2,7,330,save,1,1.5884391881546636,VB,0,0,0,0,1,0,0,1,1
1,2,7,334,familiar,1,0.18164246886076885,JJ,0,0,0,0,0,0,0,1,1
1,2,7,334,good,1,0.07335574961618256,JJ,0,1,0,0,1,0,1,1,1
1,2,7,334,routine,1,0.18164246886076885,NN,0,0,0,0,0,0,0,1,1
1,2,8,335,black,1,0.1873275732203156,JJ,0,0,0,0,0,1,0,0,-1
1,2,8,335,complaint,1,0.23886444557527406,NN,1,0,0,0,0,0,0,0,-1
1,2,8,335,hilarious,1,0.21884090704449893,JJ,0,0,0,0,1,0,1,0,1
1,2,8,335,routine,2,0.517874272922192,NN,0,0,0,0,0,0,0,1,1
1,2,8,335,white,1,0.20277947082825493,JJ,0,1,0,0,1,0,0,1,1
1,2,11,345,black,3,0.5502747463346771,JJ,0,0,0,0,0,1,0,0,-1
1,2,11,345,good,1,0.1023924005059215,JJ,0,1,0,0,1,0,1,1,1
1,2,11,345,hate,1,0.18003471752743175,VBP,1,0,1,1,0,1,0,0,-1
1,2,11,345,mess,1,0.21976160493594257,NN,0,0,1,0,0,0,0,0,-1
1,2,11,345,real,1,0.1563367274493081,JJ,0,0,0,0,0,0,0,1,1
1,2,11,346,black,1,0.17968154982356802,JJ,0,0,0,0,0,1,0,0,-1
